parameter,saerheim_summer_02_gri
log10clvi,1
log10cresi,0
log10crti,1
csti,0
log10laii,0.1
pheni,0.01
tiltoti,800
frtilgi,0
lt50i,-4.7894
claiv,0.5
cocresmx,0.141155
cstavm,0.229575
daylb,0.539664
daylp,0.632348
dlmxge,0.936974
fslamin,0.686948
fsmax,0.693
hagere,0.8
k,0.607039
laicr,3.79569
laieft,0.2
laitil,0.566455
lfwidg,0.0085207
lfwidv,0.00491875
nellvm,2.09178
phencr,0.495209
phy,63.0532
rdrsco,0.0712247
rdrsmx,0.06
rdrtem,0.00102573
rgenmx,0.0108797
rootdm,0.6
rrdmax,0.012
rubisc,5.7803
shape,0.538907
simax1t,0.00450449
slamax,0.06
tbase,3.61083
tcres,1.88986
toptge,12.6178
tranco,8
yg,0.841767
lat,58.46
wci,0.3
fwcad,0.011363636
fwcwp,0.056818182
fwcfc,0.681818182
fwcwet,1
wcst,0.44
wpoolmax,50
dparam,0.0031796
fgas,0.4
fo2mx,0.21
gamma,65
hparam,0.0055925
krdranaer,0.2
kresphard,0.1
krsr3h,1
krtotaer,2
ksnow,0.035
lambdasoil,172800
ldt50a,1.3403
ldt50b,-2.1128
lt50mn,-26.6839
lt50mx,-4.7894
ratedmx,2
rehardredday,145
rhonewsnow,100
rhopack,0.02
swret,0.1
swrf,0.01
thardmx,14.7052
tmeltfreeze,0
trainsnow,0.01
tsurfdiff,0.62279
kluetilg,0.5
frtilgg1i,0.1
daylg1g2,0.6
rgrtg1g2,0.9
rdrtmin,0.01
tvern,20
clitt0,300
csom0,10000
cnlitt0,50
cnsomf0,25
cnsoms0,25
fcsomf0,0.5
flittsomf,0.6
fsomfsoms,0.03
rnleach,0.5
knemit,0.0005
nmin0,1
tclitt,365
tcsomf,1460
tcsoms,73000
tmaxf,50
tsigmaf,20
rfn2o,8.5
wfps50n2o,0.7
ncshmax,0.04
ncr,0.03
rdrroot,0.02
rdrstub,0.2
nfertmult,1
fncgshmin,0
tcnshmob,8
tcnupt,8
f_digest_wall_fmin,0.7
f_digest_wall_max,0.9
f_wall_lv_fmin,0.7
f_wall_lv_max,0.6
f_wall_st_fmin,0.8
f_wall_st_max,0.75
